Tweets,CleanedTweets,remove_Emojis,remove_nonEnglish,remove_unrelated_chars,remove_stopwords,cleanTweets,polarity,subjectivity,sentiment,neg,neu,pos,compound
The breathtaking seaside escape of Costa Smeralda is being celebrated in a gorgeous volume from Assouline. https://t.co/2JeMeiSz9x,The breathtaking seaside escape of Costa Smeralda is being celebrated in a gorgeous volume from Assouline. ,The breathtakin  seaside escape of Costa Smeralda is bein  celebrated in a  or eous volume from Assouline  ,The breathtakin  seaside escape of Costa Smeralda is bein  celebrated in a  or eous volume from Assouline  ,The breathtakin  seaside escape of Costa Smeralda is bein  celebrated in a  or eous volume from Assouline  ,The breathtakin seaside escape Costa Smeralda bein celebrated eous volume Assouline,The breathtakin seaside escape Costa Smeralda bein celebrated eous volume Assouline,0.35,0.75,positive,0.0,0.625,0.375,0.6597
"Keena- Costa
She would make super cute little pastry’s and cakes, and would also rarely work on the coffee, but when she does, you know it’s gonna be the perfect coffee. https://t.co/rCGOh3nCUl","Keena- Costa
She would make super cute little pastry’s and cakes, and would also rarely work on the coffee, but when she does, you know it’s gonna be the perfect coffee. ",Keena  Costa She would make super cute little pastry s and cakes  and would also rarely work on the coffee  but when she does  you know it s  onna be the perfect coffee  ,Keena  Costa She would make super cute little pastry s and cakes  and would also rarely work on the coffee  but when she does  you know it s  onna be the perfect coffee  ,Keena  Costa She would make super cute little pastry s and cakes  and would also rarely work on the coffee  but when she does  you know it s  onna be the perfect coffee  ,Keena Costa She would make super cute little pastry cakes would also rarely work coffee know onna perfect coffee,Keena Costa She would make super cute little pastry cakes would also rarely work coffee know onna perfect coffee,0.38916666666666666,0.8133333333333332,positive,0.0,0.602,0.398,0.891
"@WelshSpur07 @Craig_Spur Costa is some sort of burned caramel coffee ish flavour as it hits my tastebuds.  Need three shots to get coffee above milk.  Same for Starbucks, but prefer their coffee taste once I can get to it.","  Costa is some sort of burned caramel coffee ish flavour as it hits my tastebuds.  Need three shots to get coffee above milk.  Same for Starbucks, but prefer their coffee taste once I can get to it.",  Costa is some sort of burned caramel coffee ish flavour as it hits my tastebuds   Need three shots to  et coffee above milk   Same for Starbucks  but prefer their coffee taste once I can  et to it ,  Costa is some sort of burned caramel coffee ish flavour as it hits my tastebuds   Need three shots to  et coffee above milk   Same for Starbucks  but prefer their coffee taste once I can  et to it ,  Costa is some sort of burned caramel coffee ish flavour as it hits my tastebuds   Need three shots to  et coffee above milk   Same for Starbucks  but prefer their coffee taste once I can  et to it ,Costa sort burned caramel coffee ish flavour hits tastebuds Need three shots et coffee milk Same Starbucks prefer coffee taste I et,Costa sort burned caramel coffee ish flavour hits tastebuds Need three shots et coffee milk Same Starbucks prefer coffee taste I et,0.0,0.125,neutral,0.0,1.0,0.0,0.0
"I had a lovely cooked breakfast at my B&amp;B, had morning coffee on the beach, had a stroll around the town, then decided to come home before the weather turned again. Stopped off on the local high street for a drink and my free birthday bun from Costa.","I had a lovely cooked breakfast at my B&amp;B, had morning coffee on the beach, had a stroll around the town, then decided to come home before the weather turned again. Stopped off on the local high street for a drink and my free birthday bun from Costa.",I had a lovely cooked breakfast at my B amp B  had mornin  coffee on the beach  had a stroll around the town  then decided to come home before the weather turned a ain  Stopped off on the local hi h street for a drink and my free birthday bun from Costa ,I had a lovely cooked breakfast at my B amp B  had mornin  coffee on the beach  had a stroll around the town  then decided to come home before the weather turned a ain  Stopped off on the local hi h street for a drink and my free birthday bun from Costa ,I had a lovely cooked breakfast at my B amp B  had mornin  coffee on the beach  had a stroll around the town  then decided to come home before the weather turned a ain  Stopped off on the local hi h street for a drink and my free birthday bun from Costa ,I lovely cooked breakfast B amp B mornin coffee beach stroll around town decided come home weather turned Stopped local hi h street drink free birthday bun Costa,I lovely cooked breakfast B amp B mornin coffee beach stroll around town decided come home weather turned Stopped local hi h street drink free birthday bun Costa,0.3,0.5166666666666667,positive,0.063,0.7,0.237,0.7351
"@Craig_Spur @WelshSpur07 London only (where I work - ie has coffee chains - vs Welsh borders where I live - that does not..).

Black Sheep
Nero
Starbucks
Costa

(Pret : would not cross the street for.)

Welsh borders:

Coffee Number 1
Errrr…. that’s it… 😂😂","  London only (where I work - ie has coffee chains - vs Welsh borders where I live - that does not..).

Black Sheep
Nero
Starbucks
Costa

(Pret : would not cross the street for.)

Welsh borders:

Coffee Number 1
Errrr…. that’s it… 😂😂",  London only  where I work   ie has coffee chains   vs Welsh borders where I live   that does not      Black Sheep Nero Starbucks Costa   Pret   would not cross the street for    Welsh borders   Coffee Number 1 Errrr   that s it    ,  London only  where I work   ie has coffee chains   vs Welsh borders where I live   that does not      Black Sheep Nero Starbucks Costa   Pret   would not cross the street for    Welsh borders   Coffee Number  Errrr   that s it    ,  London only  where I work   ie has coffee chains   vs Welsh borders where I live   that does not      Black Sheep Nero Starbucks Costa   Pret   would not cross the street for    Welsh borders   Coffee Number  Errrr   that s it    ,London I work ie coffee chains vs Welsh borders I live Black Sheep Nero Starbucks Costa Pret would cross street Welsh borders Coffee Number Errrr,London I work ie coffee chains vs Welsh borders I live Black Sheep Nero Starbucks Costa Pret would cross street Welsh borders Coffee Number Errrr,-0.010101010101010102,0.3111111111111111,positive,0.0,0.944,0.056,0.0772
A quick coffee break 🤍 (@ Costa Coffee - @costakuwait in Al Farwaniyah) https://t.co/fLjUbYXgey,A quick coffee break 🤍 ( Costa Coffee -  in Al Farwaniyah) ,A quick coffee break     Costa Coffee    in Al Farwaniyah  ,A quick coffee break     Costa Coffee    in Al Farwaniyah  ,A quick coffee break     Costa Coffee    in Al Farwaniyah  ,A quick coffee break Costa Coffee Al Farwaniyah,A quick coffee break Costa Coffee Al Farwaniyah,0.3333333333333333,0.5,neutral,0.0,1.0,0.0,0.0
"@RossADixon @Rob_Kimbell I put petrol on by mistake, I gotta diesel, 55mp/g at 1.20 a litre, I reckon my car out runs an EV any day, plus I ain't gotta sit at the services for an hour overpaying for a Costa crap coffee or sommats of indelible taste","  I put petrol on by mistake, I gotta diesel, 55mp/g at 1.20 a litre, I reckon my car out runs an EV any day, plus I ain't gotta sit at the services for an hour overpaying for a Costa crap coffee or sommats of indelible taste",  I put petrol on by mistake  I  otta diesel  55mp   at 1 20 a litre  I reckon my car out runs an EV any day  plus I ain t  otta sit at the services for an hour overpayin  for a Costa crap coffee or sommats of indelible taste,  I put petrol on by mistake  I  otta diesel  mp   at   a litre  I reckon my car out runs an EV any day  plus I ain t  otta sit at the services for an hour overpayin  for a Costa crap coffee or sommats of indelible taste,  I put petrol on by mistake  I  otta diesel  mp   at   a litre  I reckon my car out runs an EV any day  plus I ain t  otta sit at the services for an hour overpayin  for a Costa crap coffee or sommats of indelible taste,I put petrol mistake I otta diesel mp litre I reckon car runs EV day plus I otta sit services hour overpayin Costa crap coffee sommats indelible taste,I put petrol mistake I otta diesel mp litre I reckon car runs EV day plus I otta sit services hour overpayin Costa crap coffee sommats indelible taste,-0.8,0.8,negative,0.185,0.815,0.0,-0.6124
"Italian Blend coffee is a delicious combination of Costa Rican coffee offering a smooth Italian Roast richness w/ the complements of chocolaty characteristics found in a French Roast
Order Now ➡️ https://t.co/htMiweSafR
#CoffeeTime #CoffeeTalk #caffeine #Wednesdayvibe #coffee https://t.co/sFFoDILSex","Italian Blend coffee is a delicious combination of Costa Rican coffee offering a smooth Italian Roast richness w/ the complements of chocolaty characteristics found in a French Roast
Order Now ➡️ 
     ",Italian Blend coffee is a delicious combination of Costa Rican coffee offerin  a smooth Italian Roast richness w  the complements of chocolaty characteristics found in a French Roast Order Now          ,Italian Blend coffee is a delicious combination of Costa Rican coffee offerin  a smooth Italian Roast richness w  the complements of chocolaty characteristics found in a French Roast Order Now          ,Italian Blend coffee is a delicious combination of Costa Rican coffee offerin  a smooth Italian Roast richness w  the complements of chocolaty characteristics found in a French Roast Order Now          ,Italian Blend coffee delicious combination Costa Rican coffee offerin smooth Italian Roast richness w complements chocolaty characteristics found French Roast Order Now,Italian Blend coffee delicious combination Costa Rican coffee offerin smooth Italian Roast richness w complements chocolaty characteristics found French Roast Order Now,0.27999999999999997,0.3,positive,0.0,0.734,0.266,0.7845
"Having coffee in Costa 
kingstownretailparkpod
the heat is awful apparently the air conditioning has been broken for over a year, customers complain management do nothing!! It is like sitting in a greenhouse. Food wasted due to heat disgusting.
@CostaCoffee @healthandsafety","Having coffee in Costa 
kingstownretailparkpod
the heat is awful apparently the air conditioning has been broken for over a year, customers complain management do nothing!! It is like sitting in a greenhouse. Food wasted due to heat disgusting.
 ",Havin  coffee in Costa  kin stownretailparkpod the heat is awful apparently the air conditionin  has been broken for over a year  customers complain mana ement do nothin    It is like sittin  in a  reenhouse  Food wasted due to heat dis ustin    ,Havin  coffee in Costa  kin stownretailparkpod the heat is awful apparently the air conditionin  has been broken for over a year  customers complain mana ement do nothin    It is like sittin  in a  reenhouse  Food wasted due to heat dis ustin    ,Havin  coffee in Costa  kin stownretailparkpod the heat is awful apparently the air conditionin  has been broken for over a year  customers complain mana ement do nothin    It is like sittin  in a  reenhouse  Food wasted due to heat dis ustin    ,Havin coffee Costa kin stownretailparkpod heat awful apparently air conditionin broken year customers complain mana ement nothin It like sittin reenhouse Food wasted due heat dis ustin,Havin coffee Costa kin stownretailparkpod heat awful apparently air conditionin broken year customers complain mana ement nothin It like sittin reenhouse Food wasted due heat dis ustin,-0.335,0.425,negative,0.325,0.606,0.069,-0.8519
@AgingWhiteGay Starbucks UK rewards system is as crappy as this/that/those/they/them individuals attitude. You have to spend £50 before you earn a free coffee. Costa you get a freebie every 8 drinks no matter how much the first 7 cost., Starbucks UK rewards system is as crappy as this/that/those/they/them individuals attitude. You have to spend £50 before you earn a free coffee. Costa you get a freebie every 8 drinks no matter how much the first 7 cost., Starbucks UK rewards system is as crappy as this that those they them individuals attitude  You have to spend  50 before you earn a free coffee  Costa you  et a freebie every 8 drinks no matter how much the first 7 cost , Starbucks UK rewards system is as crappy as this that those they them individuals attitude  You have to spend   before you earn a free coffee  Costa you  et a freebie every  drinks no matter how much the first  cost , Starbucks UK rewards system is as crappy as this that those they them individuals attitude  You have to spend   before you earn a free coffee  Costa you  et a freebie every  drinks no matter how much the first  cost ,Starbucks UK rewards system crappy individuals attitude You spend earn free coffee Costa et freebie every drinks matter much first cost,Starbucks UK rewards system crappy individuals attitude You spend earn free coffee Costa et freebie every drinks matter much first cost,0.325,0.5666666666666667,positive,0.12,0.535,0.344,0.6908
"Hello coffee lovers! Join our ‘Gourmet Costa Rican Coffee Tasting’ at Booth D010, and partake in our very exclusive Cost Rican coffee tasting experience – click on the link below to make an appointment with us, and we’ll see you at IMEX Frankfurt 2023!

https://t.co/FVvPLNRSVT https://t.co/2gsLIHg53f","Hello coffee lovers! Join our ‘Gourmet Costa Rican Coffee Tasting’ at Booth D010, and partake in our very exclusive Cost Rican coffee tasting experience – click on the link below to make an appointment with us, and we’ll see you at IMEX Frankfurt 2023!

 ",Hello coffee lovers  Join our  Gourmet Costa Rican Coffee Tastin   at Booth D010  and partake in our very exclusive Cost Rican coffee tastin  experience   click on the link below to make an appointment with us  and we ll see you at IMEX Frankfurt 2023    ,Hello coffee lovers  Join our  Gourmet Costa Rican Coffee Tastin   at Booth D  and partake in our very exclusive Cost Rican coffee tastin  experience   click on the link below to make an appointment with us  and we ll see you at IMEX Frankfurt     ,Hello coffee lovers  Join our  Gourmet Costa Rican Coffee Tastin   at Booth D  and partake in our very exclusive Cost Rican coffee tastin  experience   click on the link below to make an appointment with us  and we ll see you at IMEX Frankfurt     ,Hello coffee lovers Join Gourmet Costa Rican Coffee Tastin Booth D partake exclusive Cost Rican coffee tastin experience click link make appointment us see IMEX Frankfurt,Hello coffee lovers Join Gourmet Costa Rican Coffee Tastin Booth D partake exclusive Cost Rican coffee tastin experience click link make appointment us see IMEX Frankfurt,0.0,0.0,positive,0.0,0.756,0.244,0.7269
Costa coffee café のテラス席でアイスカプチーノ飲んでる☺️ミルクフォームとコーヒーが混ざらないのはなんでだろう。 https://t.co/W3OV68WI9R,Costa coffee café のテラス席でアイスカプチーノ飲んでる☺️ミルクフォームとコーヒーが混ざらないのはなんでだろう。 ,Costa coffee café のテラス席でアイスカプチーノ飲んでる  ミルクフォームとコーヒーが混ざらないのはなんでだろう  ,Costa coffee caf     ,Costa coffee caf     ,Costa coffee caf,Costa coffee caf,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@iamlexidani It’s effing awful. Welp, guess that’s money saved! Cause what I’m NOT gonna do is ingest the hot garbage they’re serving up when I’ve got authentic bold Costa Rican coffee peeking out from my cupboard."," It’s effing awful. Welp, guess that’s money saved! Cause what I’m NOT gonna do is ingest the hot garbage they’re serving up when I’ve got authentic bold Costa Rican coffee peeking out from my cupboard.", It s effin  awful  Welp   uess that s money saved  Cause what I m NOT  onna do is in est the hot  arba e they re servin  up when I ve  ot authentic bold Costa Rican coffee peekin  out from my cupboard , It s effin  awful  Welp   uess that s money saved  Cause what I m NOT  onna do is in est the hot  arba e they re servin  up when I ve  ot authentic bold Costa Rican coffee peekin  out from my cupboard , It s effin  awful  Welp   uess that s money saved  Cause what I m NOT  onna do is in est the hot  arba e they re servin  up when I ve  ot authentic bold Costa Rican coffee peekin  out from my cupboard ,It effin awful Welp uess money saved Cause I NOT onna est hot arba e servin I ot authentic bold Costa Rican coffee peekin cupboard,It effin awful Welp uess money saved Cause I NOT onna est hot arba e servin I ot authentic bold Costa Rican coffee peekin cupboard,0.02083333333333333,0.8166666666666667,negative,0.212,0.606,0.182,-0.2263
"The initial application last year was refused...
https://t.co/zn9ZwqVYyo","The initial application last year was refused...
",The initial application last year was refused    ,The initial application last year was refused    ,The initial application last year was refused    ,The initial application last year refused,The initial application last year refused,0.0,0.03333333333333333,negative,0.306,0.694,0.0,-0.296
I need to get to a Costa Coffee so I can try out these bubble tea inspired frappes... https://t.co/PKRMqFe60C,I need to get to a Costa Coffee so I can try out these bubble tea inspired frappes... ,I need to  et to a Costa Coffee so I can try out these bubble tea inspired frappes    ,I need to  et to a Costa Coffee so I can try out these bubble tea inspired frappes    ,I need to  et to a Costa Coffee so I can try out these bubble tea inspired frappes    ,I need et Costa Coffee I try bubble tea inspired frappes,I need et Costa Coffee I try bubble tea inspired frappes,0.0,0.0,positive,0.0,0.714,0.286,0.4939
Supermarket giant Morrison's are awaiting the outcome of their appeal to the refusal of a planning application to build a drive-thru coffee facility. https://t.co/QkWZxwCH7b,Supermarket giant Morrison's are awaiting the outcome of their appeal to the refusal of a planning application to build a drive-thru coffee facility. ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Like ⏰, beans get low in the hopper, order Costa Rica Tarrazu San Diego beans from Quinning Coffee (https://t.co/Xkz4KGQoO2)","Like ⏰, beans get low in the hopper, order Costa Rica Tarrazu San Diego beans from Quinning Coffee (",Like    beans  et low in the hopper  order Costa Rica Tarrazu San Die o beans from Quinnin  Coffee  ,Like    beans  et low in the hopper  order Costa Rica Tarrazu San Die o beans from Quinnin  Coffee  ,Like    beans  et low in the hopper  order Costa Rica Tarrazu San Die o beans from Quinnin  Coffee  ,Like beans et low hopper order Costa Rica Tarrazu San Die beans Quinnin Coffee,Like beans et low hopper order Costa Rica Tarrazu San Die beans Quinnin Coffee,0.0,0.3,negative,0.308,0.564,0.128,-0.5423
Supermarket giant Morrison's are awaiting the outcome of their appeal to the refusal of a planning application to build a drive-thru coffee facility. https://t.co/m34jIvLlf2,Supermarket giant Morrison's are awaiting the outcome of their appeal to the refusal of a planning application to build a drive-thru coffee facility. ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Supermarket giant Morrison's are awaiting the outcome of their appeal to the refusal of a planning application to build a drive-thru coffee facility. https://t.co/UNWbR3uhoY,Supermarket giant Morrison's are awaiting the outcome of their appeal to the refusal of a planning application to build a drive-thru coffee facility. ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket  iant Morrison s are awaitin  the outcome of their appeal to the refusal of a plannin  application to build a drive thru coffee facility  ,Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Costa app invite code - free coffee and cake! https://t.co/yh6i1PN3dM,Costa app invite code - free coffee and cake! ,Costa app invite code   free coffee and cake  ,Costa app invite code   free coffee and cake  ,Costa app invite code   free coffee and cake  ,Costa app invite code free coffee cake,Costa app invite code free coffee cake,0.4,0.8,positive,0.0,0.505,0.495,0.5994
"@judittur @FcoMolina1985 Ostres! No sabia que Costa Coffee havia desaparegut de Barcelona 😢 Hi anava molt sovint. Imagino que van tancar per la covid i coses d'aquestes, oi? I sí, el Sandwichez és diferent, però sempre m'ha semblat més bo. No et preocupis pel nom! Ho deia com una curiositat.","  Ostres! No sabia que Costa Coffee havia desaparegut de Barcelona 😢 Hi anava molt sovint. Imagino que van tancar per la covid i coses d'aquestes, oi? I sí, el Sandwichez és diferent, però sempre m'ha semblat més bo. No et preocupis pel nom! Ho deia com una curiositat.",  Ostres  No sabia que Costa Coffee havia desapare ut de Barcelona   Hi anava molt sovint  Ima ino que van tancar per la covid i coses d aquestes  oi  I sí  el Sandwichez és diferent  però sempre m ha semblat més bo  No et preocupis pel nom  Ho deia com una curiositat ,  Ostres  No sabia que Costa Coffee havia desapare ut de Barcelona   Hi anava molt sovint  Ima ino que van tancar per la covid i coses d aquestes  oi  I s  el Sandwichez s diferent  per sempre m ha semblat ms bo  No et preocupis pel nom  Ho deia com una curiositat ,  Ostres  No sabia que Costa Coffee havia desapare ut de Barcelona   Hi anava molt sovint  Ima ino que van tancar per la covid i coses d aquestes  oi  I s  el Sandwichez s diferent  per sempre m ha semblat ms bo  No et preocupis pel nom  Ho deia com una curiositat ,Ostres No sabia que Costa Coffee havia desapare ut de Barcelona Hi anava molt sovint Ima ino que van tancar per la covid coses aquestes oi I el Sandwichez diferent per sempre ha semblat ms bo No et preocupis pel nom Ho deia com una curiositat,Ostres No sabia que Costa Coffee havia desapare ut de Barcelona Hi anava molt sovint Ima ino que van tancar per la covid coses aquestes oi I el Sandwichez diferent per sempre ha semblat ms bo No et preocupis pel nom Ho deia com una curiositat,0.0,0.0,negative,0.09,0.861,0.049,-0.25
@FEMALE_BASTARD i think costa coffee sells a lot of coffee i just don't think it's because their employees watched 3 minutes of prelimanary videos, i think costa coffee sells a lot of coffee i just don't think it's because their employees watched 3 minutes of prelimanary videos, i think costa coffee sells a lot of coffee i just don t think it s because their employees watched 3 minutes of prelimanary videos, i think costa coffee sells a lot of coffee i just don t think it s because their employees watched  minutes of prelimanary videos, i think costa coffee sells a lot of coffee i just don t think it s because their employees watched  minutes of prelimanary videos,think costa coffee sells lot coffee think employees watched minutes prelimanary videos,think costa coffee sells lot coffee think employees watched minutes prelimanary videos,0.0,0.0,neutral,0.0,1.0,0.0,0.0
