cleanTweets,sentiment,neg,neu,pos
Havin coffee Costa kin stownretailparkpod heat awful apparently air conditionin broken year customers complain mana ement nothin It like sittin reenhouse Food wasted due heat dis ustin,negative,0.325,0.606,0.069
Starbucks UK rewards system crappy individuals attitude You spend earn free coffee Costa et freebie every drinks matter much first cost,positive,0.12,0.535,0.344
Hello coffee lovers Join Gourmet Costa Rican Coffee Tastin Booth D partake exclusive Cost Rican coffee tastin experience click link make appointment us see IMEX Frankfurt,positive,0.0,0.756,0.244
Costa coffee caf,neutral,0.0,1.0,0.0
It effin awful Welp uess money saved Cause I NOT onna est hot arba e servin I ot authentic bold Costa Rican coffee peekin cupboard,negative,0.212,0.606,0.182
The initial application last year refused,negative,0.306,0.694,0.0
I need et Costa Coffee I try bubble tea inspired frappes,positive,0.0,0.714,0.286
Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,neutral,0.0,1.0,0.0
Like beans et low hopper order Costa Rica Tarrazu San Die beans Quinnin Coffee,negative,0.308,0.564,0.128
Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,neutral,0.0,1.0,0.0
Supermarket iant Morrison awaitin outcome appeal refusal plannin application build drive thru coffee facility,neutral,0.0,1.0,0.0
Costa app invite code free coffee cake,positive,0.0,0.505,0.495
Ostres No sabia que Costa Coffee havia desapare ut de Barcelona Hi anava molt sovint Ima ino que van tancar per la covid coses aquestes oi I el Sandwichez diferent per sempre ha semblat ms bo No et preocupis pel nom Ho deia com una curiositat,negative,0.09,0.861,0.049
think costa coffee sells lot coffee think employees watched minutes prelimanary videos,neutral,0.0,1.0,0.0
Costa Coffee ja existeix Barcelona al Sandwichez tenen opcions de caf assembla massa al que fa Starbucks Per ja saps que tamb rada Em sap reu que et posessin malament el nom ades depn molt de cada establiment,neutral,0.0,1.0,0.0
Para eso vas al Sandwichez al Costa Coffee por poner al unos ejemplos que los hacen mejores encima son ms baratos Ir al Starbucks se resume en que te pronuncian mal el nombre la ltima vez llamaron Crls en que te sablen xD,positive,0.0,0.917,0.083
Rainy wellbein lunch hour toss Costa Coffee canal walk Canal walk,negative,0.115,0.885,0.0
I jokin I like coffee I always et coffee put costa coolers,positive,0.0,0.762,0.238
true coffee sucks costa coolers r kinda oated,positive,0.243,0.485,0.272
costa coffee better,positive,0.0,0.408,0.592
Costa coffee caf,neutral,0.0,1.0,0.0
Tassimo Costa Cappuccino Coffee Pods Packs Drinks,neutral,0.0,1.0,0.0
O que vai salvar Portu al le alizar coffee shops como na Holanda le alizao jo maioria da Europa e le alizar prostituio Holanda novamente Ima ina linha da costa da Nazar em construo Casino coffe shop bordel sol e praia Em repeat,neutral,0.0,1.0,0.0
costa coffee rn ban er ty recommendation,negative,0.321,0.446,0.232
nuts volume cars urban areas oh countryside easy way stop scrap financin cars walk et Costa Coffee rather drive,negative,0.192,0.684,0.124
Can believe tea Costa Coffee Pretty sure lon,positive,0.0,0.522,0.478
Usin Costa Starbucks office makes sense Coffees much cheaper rent I cash flowin multi millionaire friend owns ruined castle turnin hotel rent office He sits laptop iphones coffee shop makes money,neutral,0.09,0.816,0.093
Better stay Costa Coffee,positive,0.0,0.508,0.492
We deli hted results newly refurbished Costa Coffee store St Austell,neutral,0.0,1.0,0.0
Jj je tam,positive,0.0,0.5,0.5
COSTA COFFEE,neutral,0.0,1.0,0.0
The London nei hbourhood bein reverse entrified Costa coffee shops replaced kebab takeaways empty buildin,negative,0.114,0.886,0.0
wow loads Here ood one kick start day There also Costa Foundation Kenco reat Coffee vs Gan campai n,positive,0.0,0.817,0.183
someone taken shoes costa public coffee shop scared,negative,0.293,0.707,0.0
Rhythm Bone Costa Coffee Erdin ton Thursday th May music starts pm,neutral,0.0,1.0,0.0
When say Tassimo coffee pods left office called pal declares business continuity emer ency ives I even Good job Costa campus,positive,0.0,0.868,0.132
We think treat,positive,0.0,0.426,0.574
Italian Blend coffee delicious combination Costa Rican coffee offerin smooth Italian Roast richness w complements chocolaty characteristics found French Roast Order Now,positive,0.0,0.734,0.266
Sat Costa Trinity centre Leeds tryin enjoy coffee amp couple near amp I think bloke tryin convert Christianity It takes sorts,positive,0.0,0.856,0.144
idea coffee barista jokin fully said remember fact costa card,neutral,0.0,1.0,0.0
Summer arrived Costa Coffee new whipped coffee ran e Choose Caramel Vanilla Chocolate store,neutral,0.0,1.0,0.0
Wtf happened costa coffee prices KD cold brew ridiculous Coffee industry profit mar ins absolute dayli ht robbery,negative,0.26,0.62,0.12
There Now I show phone Costa Coffee barista I shout FAT WHITE,neutral,0.0,1.0,0.0
Con ratulations Costa Coffee Holroyd Howe St James School Echelforde Home rated food hy iene inspection,neutral,0.0,1.0,0.0
POV busy important man waitin bifta smokin millennial barista Costa Coffee prepare fat white,positive,0.0,0.878,0.122
No idea I never made drunk latte life mostly I like coffee Does I think I ever held anyone orderin latte ahead Yeah Costa Nero Starbucks subsistence level coffee We plenty ood indepedents,positive,0.065,0.737,0.198
Isn bit unfair I mean publicity shots The media people chose wide appeal There place homo eny It soothes people Like cup Costa coffee tad less interestin,negative,0.105,0.811,0.084
Ok makes latte fancy amp time consumin UK espresso based coffees Genuine question Still waitin answer ettin hysteria sayin home best coffee I lived UK amp yes ood ICSs Costa amp Nero,positive,0.074,0.692,0.233
Ok makes latte fancy amp time consumin UK espresso based coffees Genuine question Still waitin answer ettin hysteria sayin home best coffee I lived UK amp yes ood ICSs Costa amp Nero,positive,0.074,0.692,0.233
ood mornin happy wednesday mornin coffee home costa shoppin job search,positive,0.0,0.73,0.27
POV Your coffee flask brou ht home watchin accept Costa coffee order collea ue,positive,0.0,0.833,0.167
COSTA COFFEE,neutral,0.0,1.0,0.0
Enjoyin cup La La una Community Lot Tarrazu Costa Rica producin families work ether produce ba excellent quality coffee annually Tastin notes sweet floral peach amp pear juice caramel milk chocolate Order,positive,0.0,0.817,0.183
Why Costa coffee shops areas Am I missin somethin,neutral,0.0,1.0,0.0
Wetherspoons always winner fish chips also typically Kopperber Cider Blackcurrant Mixed Fruits Sweden That Costa Coffee ood,positive,0.0,0.808,0.192
Yummmm Costa Coffee,neutral,0.0,1.0,0.0
beena petty tips boycottin companies reject fuck u costa ur coffee shit anyways,negative,0.592,0.408,0.0
Rasanya kopi yan aku buat ni la stron dari costa coffee punya mesin kopi ni Stron dimaksudkan ni adalah feelin heavy,neutral,0.0,1.0,0.0
Milli ram Coffee Kitchen one number newly branded boutiques shops Paseo formerly Plaza Sereno Costa Mesa,positive,0.0,0.92,0.08
I Philz Coffee Costa Mesa CA,neutral,0.0,1.0,0.0
Mr Mike lookin like cool cat Come say hi rabbin favorite beans et coffee Hot Costa Rica Coconut Cream Ice,positive,0.0,0.685,0.315
I call apon beautiful lorious country Costa Rica infuse coffee much caffeine takes keep alive toni ht tommorow,positive,0.0,0.698,0.302
Starbucks Costa Coffee Which stron est caffeine hit Al Jazeera En lish,neutral,0.0,1.0,0.0
Costa coffee doin bubble teas,positive,0.0,0.755,0.245
Now till May Costa Coffee London Almond Drinks Promotion Click link details Help retweet Follow us promo,positive,0.0,0.856,0.144
SICK MADNESS Ahmad Are surprised iven doctor sur eon NHS responsible lookin sick fast food outlets McDonald Bur er Kin Gre Costa Coffee operatin UK hospitals,negative,0.303,0.581,0.116
,neutral,0.0,0.0,0.0
You oo le UK Hospitals fast food outlets McDonalds Bur er Kin Gre amp Costa I web archive one Daily Mail deleted pa e,neutral,0.0,1.0,0.0
No Costa Coffee,negative,0.524,0.476,0.0
I place I seek political advice coffee Since Coca Cola Costa I either I inclination less white Bud li ht reat example companies stay fuck unrelated political commentary,negative,0.132,0.868,0.0
Costa Coffee Supervisor What doin We currently recruitin dedicated Costa Coffee Supervisor help ensure smooth runnin operations,positive,0.0,0.628,0.372
The Costa Rica Pura Vida Lifestyle Podcast Series The Coffee Baron Dream Mansion Barrio Amon Episode,positive,0.0,0.882,0.118
The Costa Rica Pura Vida Lifestyle Podcast Series The Coffee Baron Dream Mansion Barrio Amon Episode,positive,0.0,0.882,0.118
Meanwhile ar Costa coffee quite ender front,neutral,0.0,1.0,0.0
buildin owned Costa leakin roof amp water runnin counter amp electrical equipment So much staff customer safety consideration There Costa inside Tesco mins away DT disability accessibility coffee vital,positive,0.0,0.844,0.156
COCONUT COCO ICED COFFEE JACO BEST ICED COFFEES World Famous Costa Rica OVER DIFFERENT GOURMET BURGERS Ph amp Whatsapp Order Now Or Download Our Apps Android Or Apple,positive,0.0,0.846,0.154
Earlier Costa I saw uy holdin coffee tenderly speakin soothin ly I appreciate relate,positive,0.0,0.497,0.503
Club Ni ht Monday th May pm Our club ni ht Monday th May pm fish chip ride Brixham Harbour TQ TW ratitude sinkhole overhaul The ride led Kevin Moorey We leave Costa Coffee Marsh Mills Plymouth PL LX pm,negative,0.03,0.97,0.0
Make sure visit stand Friday th May chance win costa coffee voucher,positive,0.0,0.526,0.474
Summer arrived Costa Coffee new whipped coffee ran e Choose Caramel Vanilla Chocolate,neutral,0.0,1.0,0.0
Costa Coffee Lo Hawaiian Shirt And Shorts EmonShop Only Buy Now net Coffee,neutral,0.0,1.0,0.0
You norant think men violent Boardrooms public places access Costa Coffee wherever way comparable,negative,0.231,0.769,0.0
We back opportunity win monthly prizes We ivin one lucky winner Costa Coffee Gift Card worth To win must ta us May project installation posts usin entered month prize draw,positive,0.0,0.428,0.572
Or delicious Mossy Rock Coffee Costa Rica K cups,positive,0.0,0.654,0.346
Hello Could please tell complaints procedure Costa I prepared believe I spoken mana er one local Costa coffee shops X,positive,0.129,0.67,0.201
Take coffee journey discover Costa Rica valuable export one barista instructors Learn varieties coffee ways prepare enhance flavor profile sample favorites beans country ei ht coffee ions,positive,0.0,0.809,0.191
And better one Costa coffee machines,positive,0.0,0.633,0.367
Thank notes Costa Rican coffee Malaysian tea beautiful E yptian papyrus paint I feel lucky rateful I learned received semester wonderful students,positive,0.0,0.538,0.462
Summer arrived Costa Coffee new whipped coffee ran e Choose Caramel Vanilla Chocolate Visit Costa Coffee upper floor Grand Arcade,positive,0.0,0.857,0.143
To say least We never know one wants treat like better find educated non violent non screamin way tellin ri ht maybe stop drinkin coffee Costa pret man er nearby,positive,0.156,0.638,0.207
Costa Rica superb wild life coffee,positive,0.0,0.549,0.451
Ripenin coffee cherries Tarraz rowin ion Costa Rica ori Guanacaste Core Coffee We proud offer Guanacaste store RPM SC CTI NJ Green Room Annex Hit link learn,positive,0.0,0.893,0.107
For otten nice Costa soya mocha coffee tiffin Well almost birthday heck,positive,0.0,0.671,0.329
Get quote Police Mutual Car Insurance May rab treat us Choose e ift card one Sainsbury Gre Costa Coffee Find,positive,0.0,0.87,0.13
Starbucks coffee awful costa Nero Prefer smaller coffee shops sell ood coffee,negative,0.214,0.786,0.0
Cant wait land birmin ham buy overpriced coffee airport costa like feel like make happier many ways rn,positive,0.0,0.641,0.359
Well Lobby overnment instead sycophantic social media Government mana e fundin services country Kin whose coronation cost us less medium latte Costa Coffee Stop moanin et back CrimLaw No crime,negative,0.225,0.684,0.091
Day amp Paradise Our roup experienced Selvatura Park Cloud Forest Treetop Walkway Suspension Brid e Carribean Sloth Sanctuary Butterfly Gardens amp Don Juan Coffee Tour experienced firsthand tradition rowin coffee Costa Rica,positive,0.0,0.877,0.123
actual lastname costa always tricks rememberin whole coffee chain,negative,0.158,0.842,0.0
costas creamin money new delhi bbc pod cast please,positive,0.0,0.777,0.223
every office worker thinks woo bank holiday reat open supermarket et costa coffee maybe mcdonalds without realisin people work serve,positive,0.0,0.756,0.244
I suspect lot nepotism Alberta unscrupulous climbers found easier break journalism via conservative publications Costa Swift etc instead bein one eneric aspirin journos clawin spot fetch coffee mainstream outlet,positive,0.069,0.786,0.145
Midday snack Costa Coffee Yate,neutral,0.0,1.0,0.0
Use Costa app like et bean start first purchase Costa handcrafted drink That halfway towards free one,positive,0.0,0.721,0.279
The worst thin ever happen move near costa drive thru Just took son nursery I et latte ot errands I et coffee It like car oes automatically,negative,0.139,0.777,0.084
dau hter placed order app arrive Costa Coffee shop closed How et money back able place order shop closed,neutral,0.0,1.0,0.0
Summer arrived Costa Coffee new whipped coffee ran e Choose Caramel Vanilla Chocolate,neutral,0.0,1.0,0.0
My local pharmacy replaced Costa coffee shop,neutral,0.0,1.0,0.0
First day back Bank Holiday weekend calls iced coffee Costa,positive,0.0,0.769,0.231
Coffee shop rankin Costa Nero Starbucks Pret Prove otherwise,neutral,0.0,1.0,0.0
Next Harlesden amp Kensal Green Police Contact Point COSTA COFFEE Harlesden noon Come see us,neutral,0.0,1.0,0.0
Summer arrived Costa Coffee new whipped coffee ran e Choose Caramel Vanilla Chocolate,neutral,0.0,1.0,0.0
Costa Starbucks Nero competition Not McDonald Bur er Kin KFC iconic without coffee,neutral,0.0,1.0,0.0
man costa ordered iced espresso immediately came back ask refund stron know coffee would taste like men make sad help,positive,0.123,0.672,0.206
Our Costa Coffee stores busy Bank Holiday weekend Kin Coronation launch summer campai n,positive,0.0,0.816,0.184
Elijah Wood Costa Coffee I thou ht packed What thinkin,neutral,0.0,1.0,0.0
costa coffee,neutral,0.0,1.0,0.0
Great little venue costa coffee,positive,0.0,0.494,0.506
Coffee best shared Ta Costa lovin friend comments head try new summer drinks,positive,0.0,0.505,0.495
Costa lotta notta lotta Genuinely thou h coffee Costa shit The hot chocolates coolers ood,negative,0.217,0.783,0.0
Summer arrived Costa Coffee new whipped coffee ran e Choose Caramel Vanilla Chocolate,neutral,0.0,1.0,0.0
CCD CCD Cafe Mocha Starbucks Barista Costa Coffee Brewberry,neutral,0.0,1.0,0.0
Hey I want assure animal welfare key priority Costa Coffee We reco nise responsibility work suppliers also committed best practice animal welfare mana ement support continuous improvement standards,positive,0.0,0.572,0.428
Perhaps ulators need stop non medics It alarmin poppin like Costa coffee shops Should MEDIC ONLY Like country,positive,0.099,0.676,0.225
COSTA COFFEE,neutral,0.0,1.0,0.0
I love Costa Salted Caramel Frostino extra shot I supposed quitin caffeine workin well I one coffee day I quit Cherry Pepsi Max hard,positive,0.057,0.688,0.255
Tuesdays call treats And Costa Coffee new Blueberry Bubble Frapp Lovely bubbly,positive,0.0,0.743,0.257
Have wran led takin Dr AB car shop leakin tyre The Halfords bein hella cheeky offerin coffee Costa machine ot buy,neutral,0.0,1.0,0.0
Use Costa app like et bean start first purchase Costa handcrafted drink That halfway towards free one,positive,0.0,0.721,0.279
Feelin ood Tuesday It lon drive York Costa coffee tunes feel ood Start ban tune,negative,0.205,0.795,0.0
Costa coffee referral,neutral,0.0,1.0,0.0
Whatever weather Summer Costa Coffee covered announces bumper new Summer menu Find Costa upper round floor Chantry Place,neutral,0.0,1.0,0.0
Summer arrived Costa Coffee new whipped coffee ran e Choose Caramel Vanilla Chocolate,neutral,0.0,1.0,0.0
Con un cafe del costa coffee lo amo,neutral,0.0,1.0,0.0
Are ready coffee catch fabulous women Denia Join us Costa Women coffee mornin Thursday th May noon Fue Bar small Marina Denia There free parkin around marina par,positive,0.0,0.678,0.322
Can please stop usin Airbnb synonym Self Carerin It like sayin Costa Coffee quite disin enuous As community You see backed le al challen e ainst council If ECC scheme istration,positive,0.065,0.762,0.173
COSTA COFFEE,neutral,0.0,1.0,0.0
I Costa Coffee Kuwait Hawalli Governorate,neutral,0.0,1.0,0.0
,neutral,0.0,0.0,0.0
Sippin Clickin Movin Vkey loves explore streets camera Costa Coffee Where coffee take,positive,0.0,0.764,0.236
COSTA COFFEE,neutral,0.0,1.0,0.0
I think stron sense bias b countries ardless race For instance I Costa Rican coworker fully indi enous Bribri Cabecar amp yet despite frequent racism faced extremely racist ainst mi rant Nicara uan coffee pickers,negative,0.205,0.711,0.084
Costa coffee,neutral,0.0,1.0,0.0
COSTA COFFEE,neutral,0.0,1.0,0.0
Tully coffee Costa Rica,neutral,0.0,1.0,0.0
But people Costa Rica et coffee He Brews,neutral,0.0,1.0,0.0
Don Starbucks coffee crap always tastes burnt Don worry I Costa priced shit Brew,negative,0.476,0.524,0.0
Shit coffee anyway Much nicer Costa oh pay uk tax,negative,0.336,0.47,0.195
Tassimo Costa Caramel Latte Coffee Pods Packs Drinks,neutral,0.0,1.0,0.0
Dishwater Really I drink black coffee find coffee far stron like drinkin molten tar I like pret costa fact anywhere filter,positive,0.0,0.773,0.227
I costa coffee laptop every day write couple hours Different walls know work Unfortunately next supermarket,negative,0.146,0.854,0.0
I like Coffee Costa better,positive,0.0,0.27,0.73
Starbucks min anyway Every one I needs ood scrub coffee weak piss Costa far superior Starbucks keep woke enda,negative,0.232,0.622,0.145
Yes fairness nobody oin Gre coffee It like oin Starbucks Costa complainin shortbread biscuits,positive,0.0,0.698,0.302
Ima ine walkin Costa coffee,neutral,0.0,1.0,0.0
I think lot clubs route open eyes Costa Starbucks coffee shop actually offers without full kitchen copyin bad shout Realistically us want pint bacon sarnie,negative,0.131,0.821,0.049
Thank My Brother My Birthday Celebration Costa Coffee Thankyou A My Brother Barrister Hallar Manzoor Wasan,positive,0.0,0.848,0.152
Postin photos costa coffee uncle Paul told Die si nin,negative,0.302,0.698,0.0
Why would want Costa Coffee cup show,positive,0.0,0.822,0.178
Just Costa et better coffee,positive,0.0,0.58,0.42
So avoid coffee I Costa,negative,0.454,0.546,0.0
If I money I would show coffee Call Coffee Battles Like Bakin shows coffee Turkey vs Brazil Costa Rica vs Columbia ect Every nation must present amp provides best coffee,positive,0.076,0.729,0.195
look photos people coffees costa starbucks want demolish look damn ood cruelly ironic love smell coffee absolutely hate taste,negative,0.393,0.426,0.18
TRADITIONAL TRADICIONAL ICED COFFEE World Famous Costa Rica Jaco Top Restaurant OVER DIFFERENT GOURMET BURGERS Ph amp Whatsapp Order Now Or Apps Android Or Apple,positive,0.0,0.93,0.07
Coffee rated Tim Horton Nero Costa Muffin Break Marks Spencer Gre Pret A Man er Starbucks Tesco If enjoyed tweet please consider buyin coffee Thanks,positive,0.0,0.712,0.288
Nice Kim coffee Gets bit irksome third fourth time branch Why Because I Kym year old bloke So yes lot truth say nothin So avoid embarrassment I Costa,positive,0.162,0.6,0.239
I trans person local Costa Coffee say I ordered drink public really piin today I anythin annoy person I felt unwelcome Seems thin er loathin crowd,negative,0.219,0.781,0.0
looks like Costa servin coffee today,positive,0.0,0.667,0.333
What better cold coffee durin hot day,positive,0.0,0.674,0.326
roastin costa rica la minita estate one renowned coffee estates world,neutral,0.0,1.0,0.0
Go Costa Nero instead better coffee better customer service amp idiots askin name write paper cup,positive,0.0,0.707,0.293
Which one want try,positive,0.0,0.698,0.302
Share career path ames industry Passen er Service A ent Airport Fli ht Dispatcher Airport Barista Costa Coffee All illustratin free time I could improve become somethin Art Director,positive,0.0,0.741,0.259
The menu available,neutral,0.0,1.0,0.0
The menu available,neutral,0.0,1.0,0.0
It cost Costa puts si n outside sayin OUR COFFEE COSTS YOU MORE THAN THE CORONATION,neutral,0.0,1.0,0.0
Ori inally one costa even worse drink coffee,negative,0.307,0.693,0.0
Costa coffee,neutral,0.0,1.0,0.0
pur atory costa coffee ever plays Taylor swift,positive,0.0,0.612,0.388
If like coffee avoid Starbucks,positive,0.286,0.39,0.325
Costa Coffee,neutral,0.0,1.0,0.0
TLDR The country fallin apart people drinkin coffee Costa instead Debenhams,neutral,0.0,1.0,0.0
She use Costa coffee cup tied around neck rest end cheatin really,neutral,0.0,1.0,0.0
I et hot chocolate mostly I idea coffee otherwise lol Yes I still call Costa Coffee even actual coffee cup,positive,0.0,0.732,0.268
Take look two data visuals made article It Breaks My Heart Costa Rica Coffee Communities Challen ed The Central American country ettin hotter receivin erratic rainfall,neutral,0.0,1.0,0.0
COSTA COFFEE,neutral,0.0,1.0,0.0
The matchin coffee cup keyboard everythin What GO Costa order,neutral,0.0,1.0,0.0
Can wait try,neutral,0.0,1.0,0.0
really nice professional employees Looks like I oin costa coffee,positive,0.0,0.556,0.444
Mula mcm nk bebai tin al Costa coffee tu Tapi dah dpt urut amp lotion calamine tempat merenyam Zul im okay ive n take Y sweet n ood kita simpan Sebb Allah nampak Tak perlu nampak,positive,0.0,0.864,0.136
Brewin fresh coffee fixna day today Caf crack Bustelo Costa Rican Britt coffee stick cinnamon Nestl chocolate su ar cream Let et,positive,0.0,0.901,0.099
There starbucks near I occasionally et costa coffee Sometimes hard et free seat,positive,0.095,0.68,0.224
Brewin fresh coffee fixna day today Cafe crack Bustelo Costa Rican Britt coffee stick cinnamon Nestl chocolate su ar cream Let et,positive,0.0,0.901,0.099
Brewin fresh coffee fixna day today Cafe crack Bustamante Costa Rican Britt coffee stick cinnamon Nestl chocolate su ar cream Let et,positive,0.0,0.901,0.099
Costa much better coffee anyway Starbucks min Wish I lived closer I rock alon rest amp adopt name Karen day,positive,0.0,0.673,0.327
amanh h vamos receber Juliete Costa aluna de doutorado aqui PPGE IB USP para contar um pouco da sua pesquisa pra ente Ela vai apresentar uma prvia da sua qualificao Bora l contribuir com essa pesquisa e aproveitar um delicioso coffee break,neutral,0.0,1.0,0.0
like burn coffee imo costa Starbucks worst iced coffee tho,negative,0.281,0.548,0.171
oin write ethno raphic paper lon itudinal study researchin fact comes understandin bathrooms work costa coffee customers rocks skulls instead brains,neutral,0.0,1.0,0.0
Costa Coffee London Almond Mocha London Almond Hot Chocolate Limited Deals,negative,0.16,0.84,0.0
NEU Promoter innen fr Uni Samplin Mai Koblenz Wir suchen Dich als Promoter w fr das Uni Samplin fr Fuzetea und Costa Coffee Mai Koblenz Mehr Infos,neutral,0.0,1.0,0.0
Stoppin Shell SELECT means rabbin somethin My favorites pastries DeliGo amp coffee upsize course Costa Coffee At time I et collect points usin BLINK App,positive,0.0,0.891,0.109
A reed My wife felt ill last hot drinks Starbucks coffee service Costa much better,neutral,0.158,0.678,0.164
No bomba Jutro bd w costa coffee w zotych tarasach jaki kozak internetowy chcia si spotka ale czuj w kociach e nie przyjdziesz Moesz wej w je buty,negative,0.091,0.909,0.0
meal kin mate Costa Coffee,neutral,0.0,1.0,0.0
Cos none taste like coffee Nah havin barfed cappuccino I hardly oin risk anythin else It Costa every time,negative,0.262,0.738,0.0
Cherry cordial ripe papaya dark cocoa A new Carbonic Maceration process Costa Rican coffee released pre order ReAnimator,neutral,0.0,1.0,0.0
Midday snack Costa Coffee Kin schase Kin swood,neutral,0.0,1.0,0.0
Not easy I live UK I Costa coffee shop employee appears like man dresses like women man like women dress man trans woman woman trans man,positive,0.08,0.669,0.251
To Costa sit writin next ame nice atmosphere cup coffee I like,positive,0.0,0.629,0.371
Sat havin coffee local Costa I oin drink quick For inexplicable reason whenever I visit local Costas air conditionin blowin ale I fed uncomfortable draft Not even like hot day,negative,0.159,0.841,0.0
mam w pracy kawe pracownicza ale co z te skoro jest ona z costa coffee,neutral,0.0,1.0,0.0
Leicester Square Costa Coffee Told voucher I ordered said fine ordered decided take,positive,0.0,0.859,0.141
This may Costa Coffee Starbucks Barista berates customer mis enderin assaultin onlooker,neutral,0.0,1.0,0.0
When crap outside road beat coffee paperwork,negative,0.302,0.698,0.0
Lol I I work chief taster Costa round shops testin cake n coffee,positive,0.0,0.763,0.237
Wait sponsor Mermaids Definitely oin How Costa Don really coffee shops much anyway ood know thin,positive,0.0,0.847,0.153
The coffee cart work closed Bank Holiday I Costa mile way rain And caramel syrup I mean fuckin point If I pour Starbucks cup I try amp pretend,positive,0.054,0.843,0.103
Twitter COSTA COFFEE,neutral,0.0,1.0,0.0
Never Starbucks Costa McDonalds understand people rave Plenty independent coffee shops need custom,neutral,0.0,1.0,0.0
costa iced coffee ass,negative,0.538,0.462,0.0
Costa Coffee launched new menu summer food drinks available,positive,0.0,0.842,0.158
Out eous brother happy bank holiday,positive,0.0,0.385,0.615
I tend Costa iven choice Starbucks ood lon journey You et massive cup coffee lasts ood hour You pay havin stop sooner thou h oes must come,negative,0.135,0.865,0.0
Coffee shops losers Starbucks Costa coffee crap You dealin unintelli ent liberals A real person rab coffee family run cafe restaurant They rush You enjoy finely made rushed coffee I ONE Starbucks meetin,negative,0.161,0.753,0.086
I sittin Costa coffee lookin window I reckon mi ht true,positive,0.0,0.741,0.259
Haven bou ht coffee Costa years,neutral,0.0,1.0,0.0
I preferred Costa Coffee anyway Starbucks overrated,neutral,0.0,1.0,0.0
A coffee costa Costa If bou ht one every day comes year avera e FTB deposit London k So yeh abstained coffee Years et deposit Contemptible boomer brain,negative,0.098,0.902,0.0
BOSS COSTA COFFEE,neutral,0.0,1.0,0.0
You apoleptic see rubbish detritus bein left LD even hi h fells My brother law pickin Costa coffee cups summit Helvellyn week It sad inditement society whole,negative,0.11,0.89,0.0
I also deliberate thin I like curate aesthetics represent person Knowin person details Why would rather drink decaffeinated coffee choose jam butter visit Starbucks Costa,positive,0.0,0.898,0.102
Always ood idea cup coffee,neutral,0.0,1.0,0.0
Me millennial barista Costa Coffee tells watch coronation kin really thin,neutral,0.0,1.0,0.0
Costa Coffee launches new food drinks menu time summer,neutral,0.0,1.0,0.0
I prefer French Italian Spanish coffee shops know make serve properly,neutral,0.0,1.0,0.0
I Costa,neutral,0.0,1.0,0.0
Costa far better coffee Starbucks,positive,0.0,0.58,0.42
For I ahead I es Hate coffee I irl,negative,0.425,0.575,0.0
Sack ever identify customer service priority Costa coffee,neutral,0.0,1.0,0.0
Monday mornin ot little better Flat White one scrumptious pastries How startin Monday,positive,0.0,0.658,0.342
I doin years I even Costa either I prefer real coffee,neutral,0.0,1.0,0.0
A new Starbucks opened near work pre established Costa Coffee shop empty,negative,0.153,0.847,0.0
Freebie Alert Free Can Costa Coffee Latte You et free Latte Gin erbread Latte Vanilla Latte Caramel Latte,positive,0.0,0.547,0.453
I prefer Costa Coffee,neutral,0.0,1.0,0.0
COSTA COFFEE,neutral,0.0,1.0,0.0
Last time I used public char er I recon sometime costa car park wanted coffee anyway,neutral,0.0,1.0,0.0
Tassimo Costa Americano Coffee Pods Packs Drinks,neutral,0.0,1.0,0.0
